Bioinformatics	6
Environmental Microbiology	5
Molecular Ecology Resources	5
PLoS ONE	5
Nature Biotechnology	4
Scientific Reports	4
FEMS Microbiology Ecology	3
Frontiers in Microbiology	3
GigaScience	3
ISME Journal	3
Methods in Ecology and Evolution	3
Applied and Environmental Microbiology	2
FEMS microbiology ecology	2
Frontiers in Genetics	2
Journal of Computational Biology	2
Molecular Ecology	2
Nature Methods	2
Nucleic Acids Research	2
bioRxiv	2
Acta Protozoologica	1
Advances in Ecological Research	1
Applied Microbiology and Biotechnology	1
Basic and Applied Ecology	1
Biological Invasions	1
Biological Reviews of the Cambridge Philosophical Society	1
Cladistics	1
Ecological Indicators	1
Ecology and Evolution	1
Environmental Bioindicators	1
Environmental Conservation	1
European Journal of Protistology	1
Evolutionary Applications	1
Fisheries	1
Freshwater Biology	1
Freshwater Science	1
Genome Biology	1
Genome Research	1
Global Environmental Change	1
Hydrobiologia	1
Journal of Molecular Biology	1
Journal of the North American Benthological Society	1
Marine Genomics	1
Microbial Informatics and Experimentation	1
Microbiome	1
Nature Microbiology	1
Nature Reviews Microbiology	1
Nucleic acids research	1
PLoS Biology	1
PLoS Computational Biology	1
Pacific Symposium on Biocomputing 2011	1
Preprints	1
Trends in Microbiology	1
Water Pollution Control Federation	1
mBio	1
mSphere	1